ID,No of employee,Annual turnover,TCTC,Basic Salary,Cash Injection,Contrib Waiver,Affected Employee
313,1,1.000.000,14300,14300,1,1,1
314,123,439895.46,38105.17,24999.74,1,1,1
315,2,650000,15000,9200,1,1,0
316,37,/B,/B,126000,1,1,1
317,14,0,0,4000,1,0,1
318,4,70000,0,1,1,1,1
319,3,58000,5800,36000,0,1,1
320,1,5000000,0,260000,1,1,1
321,1,30000000,708926.83,354463.41,1,1,1
322,42,48000,0,4000,1,0,1
323,1,10000,400/,1500,1,1,1
324,6,20000,3800,3800,1,1,1
325,5,250000,19300,18700,1,1,1
326,7,0,0,4200,1,1,1
327,4,Year2019+-777800.00,12600,12586.69,0,1,1
328,3,160500,12440,149280,1,1,1
329,6,200000,57600,57600,1,1,1
330,3,36000,36000,300000,1,1,1
331,1,140000,18000,10000,0,1,0
332,1,0,0,0,1,1,1
333,1,700000,30000,30000,1,1,1
334,2,900000,22000,20500,1,1,0
335,2,0,0,ererson170.00weekly,1,1,1
336,5,114711.17,10700,10700,1,1,1
337,11,50000,6000,1000,0,1,1
338,1,50000,1200,1200,1,1,1
339,4,50000,0,300,1,1,1
340,34,3000000,0,1140000,1,1,1
341,1,60000,0,42000,0,1,1
342,2,6000000,4035804.38,854859.64,1,1,1
343,1,10000,500,500,0,0,1
344,1,3600,3600,3600,1,1,1
345,1,10000,78000,78000,0,0,1
346,2,0,1098.72,91.56,0,1,1
347,1,80000,1400000,500000,0,0,1
348,2,12980511,120580.98,104880,0,1,0
349,4,64142,36000,3600,1,1,1
350,34,50000,1000,300,1,1,1
351,8,114000,5200,70000,1,1,1
352,1,0,145402,145402,1,1,0
353,1,0,0,3000,1,1,1
354,39,1500000,87000,87000,1,1,1
355,1,100000,0,10800,1,1,1
356,15,734.745,11800,11800,1,1,0
357,10,1129850.76,21189.04,21000,1,1,1
358,10,3756000,55857.88,51442,1,1,1
359,2,70000,2050,2050,1,1,1
360,1,0,1400,1400,1,1,1
361,1,0,0,7000,0,1,0
362,31,85500,146400,12200,1,1,1
363,22,14864160,175000,47000,0,1,1
364,6,1500000,52380,52380,1,1,1
365,6,7000000,3621251.08,221926.44,1,1,1
366,2,96000,62400,1300,0,0,1
367,11,80000000+-,41250,82500,1,1,1
368,4,360000,0,9300,1,1,0
369,1,30000,0,5000,1,1,1
370,1,780000,15993,7700,1,0,1
371,1,490800,48356.69,40900,1,1,1
372,6,0,0,0,1,1,1
373,58,438206.64,178800,36517.22,0,1,1
374,6,245967475.9,169462.97,135566.48,1,1,1
375,3,6000000,120000,60328.9,1,1,1
376,3,683190.2,270500,22650,0,1,1
377,1,/A,/A,17250,0,0,1
378,1,10illion,8200,8200,1,1,1
379,15,167797.39,3531.5,3500,1,0,1
380,140,48,0,4000,1,1,1
381,4,5000000,21135,18448.37,1,1,1
382,5,/A,3000,3000,0,0,1
383,11,30101736.86,996172.49,604125.14,1,1,1
384,6,18554.4,600,18000,1,1,1
385,2,983032,283285,281400,1,0,0
386,1,1271220,13497.38,9000,1,0,0
387,1,0,0,1200,1,1,1
388,4,1013726,32053,32053,1,0,1
389,29,0,27400,27400,1,1,1
390,4,490000,11374,10758,1,0,1
391,1,na,4000,10000,1,1,1
392,1,66015199,1169045.75,915900.62,1,1,1
393,1,4658244,0,549984,1,1,1
394,1,44808,44808,3734,1,1,1
395,1,0,0,0,0,0,1
396,1,184800,0,15400,1,1,1
397,7,44808,44808,3734,1,1,1
398,2,190.00.00,378910.2,284400,1,1,1
399,4,890000,26382,26382,0,1,0
400,3,0,0,0,0,0,1
401,2,415700,66000,5500,0,0,1
402,4,1200,15800,2300,1,0,1
